"symbol","year","dividend"
"BCE.TO",1996,1.0200
"BCE.TO",1997,1.6900
"BCE.TO",1998,1.3600
"BCE.TO",1999,1.3600
"BCE.TO",2000,134.7620
"BCE.TO",2001,1.2000
"BCE.TO",2002,1.2000
"BCE.TO",2003,1.2000
"BCE.TO",2004,1.2000
"BCE.TO",2005,1.3200
"BCE.TO",2006,1.3200
"BCE.TO",2007,1.4600
"BCE.TO",2008,0.7300
"BCE.TO",2009,1.5800
"BCE.TO",2010,1.7860
"BCE.TO",2011,2.0470
"BCE.TO",2012,2.2220
"BCE.TO",2013,2.3320
"BCE.TO",2014,2.4720
"BCE.TO",2015,2.6000
"BCE.TO",2016,2.7320
"BCE.TO",2017,2.8720
"BCE.TO",2018,3.0200
"BCE.TO",2019,3.1720
"BCE.TO",2020,3.3320
"BCE.TO",2021,3.5000
"BCE.TO",2022,3.6800
"BCE.TO",2023,3.8720
"BCE.TO",2024,3.9920
"BCE.TO",2025,2.3120
"BCE.TO",2026,0.4380
"BNS.TO",1995,0.3100
"BNS.TO",1996,0.2475
"BNS.TO",1997,0.3700
"BNS.TO",1998,0.5050
"BNS.TO",1999,0.4500
"BNS.TO",2000,0.5200
"BNS.TO",2001,0.6500
"BNS.TO",2002,0.5550
"BNS.TO",2003,0.8400
"BNS.TO",2004,1.4200
"BNS.TO",2005,1.3600
"BNS.TO",2006,1.5600
"BNS.TO",2007,1.7900
"BNS.TO",2008,1.4500
"BNS.TO",2009,2.4500
"BNS.TO",2010,1.9600
"BNS.TO",2011,2.0800
"BNS.TO",2012,2.2400
"BNS.TO",2013,1.8200
"BNS.TO",2014,2.5600
"BNS.TO",2015,3.4200
"BNS.TO",2016,2.9200
"BNS.TO",2017,3.1000
"BNS.TO",2018,3.3400
"BNS.TO",2019,2.6400
"BNS.TO",2020,3.6000
"BNS.TO",2021,4.6000
"BNS.TO",2022,3.0600
"BNS.TO",2023,4.1800
"BNS.TO",2024,4.2400
"BNS.TO",2025,4.3200
"BNS.TO",2026,2.2000
"TD.TO",1995,0.2275
"TD.TO",1996,0.2575
"TD.TO",1997,0.2900
"TD.TO",1998,0.3350
"TD.TO",1999,0.2850
"TD.TO",2000,0.4800
"TD.TO",2001,0.5600
"TD.TO",2002,0.5600
"TD.TO",2003,0.6000
"TD.TO",2004,0.7000
"TD.TO",2005,0.8200
"TD.TO",2006,0.6800
"TD.TO",2007,1.0550
"TD.TO",2008,1.1800
"TD.TO",2009,1.2200
"TD.TO",2010,1.2200
"TD.TO",2011,1.3050
"TD.TO",2012,1.4450
"TD.TO",2013,1.6200
"TD.TO",2014,1.8400
"TD.TO",2015,2.0000
"TD.TO",2016,2.1600
"TD.TO",2017,2.3500
"TD.TO",2018,2.6100
"TD.TO",2019,2.8900
"TD.TO",2020,3.1100
"TD.TO",2021,3.1600
"TD.TO",2022,3.5600
"TD.TO",2023,3.8400
"TD.TO",2024,4.0800
"TD.TO",2025,4.2000
"TD.TO",2026,2.1600
